huesped_id,habitacion_id,fecha_entrada,fecha_salida,promocion_id,canal_id,empleado_checkin,empleado_checkout
1326,1,2025-01-01,2025-01-03,2,3,1,2
2108,2,2025-01-01,2025-01-04,2,1,1,2
243,3,2025-01-01,2025-01-05,1,2,1,2
1023,4,2025-01-01,2025-01-03,NULL,3,1,2
2005,6,2025-01-01,2025-01-05,NULL,5,1,2
1537,7,2025-01-01,2025-01-05,1,1,1,2
1651,8,2025-01-01,2025-01-02,2,3,1,2
1863,9,2025-01-01,2025-01-04,1,3,1,2
2994,10,2025-01-01,2025-01-02,1,3,1,2
893,12,2025-01-01,2025-01-05,1,2,1,2
1162,13,2025-01-01,2025-01-04,1,5,1,2
1988,14,2025-01-01,2025-01-06,1,1,1,2
67,15,2025-01-01,2025-01-05,NULL,2,1,2
1753,16,2025-01-01,2025-01-02,NULL,2,1,2
383,18,2025-01-01,2025-01-04,2,3,1,2
2722,19,2025-01-01,2025-01-04,2,2,1,2
2974,20,2025-01-01,2025-01-04,2,2,1,2
2883,21,2025-01-01,2025-01-02,NULL,1,1,2
544,22,2025-01-01,2025-01-02,2,2,1,2
39,23,2025-01-01,2025-01-05,NULL,3,1,2
1957,26,2025-01-01,2025-01-03,NULL,2,1,2
423,27,2025-01-01,2025-01-02,1,3,1,2
2628,29,2025-01-01,2025-01-03,2,2,1,2
35,30,2025-01-01,2025-01-06,2,2,1,2
2573,31,2025-01-01,2025-01-03,2,2,1,2
890,33,2025-01-01,2025-01-05,NULL,1,1,2
2415,34,2025-01-01,2025-01-02,2,4,1,2
1289,35,2025-01-01,2025-01-05,NULL,2,1,2
1017,36,2025-01-01,2025-01-02,2,5,1,2
1168,37,2025-01-01,2025-01-06,2,1,1,2
842,39,2025-01-01,2025-01-04,2,5,1,2
1211,40,2025-01-01,2025-01-05,2,1,1,2
2028,41,2025-01-01,2025-01-03,1,1,1,2
291,42,2025-01-01,2025-01-06,2,1,1,2
1724,45,2025-01-01,2025-01-06,1,5,1,2
299,46,2025-01-01,2025-01-05,NULL,5,1,2
884,47,2025-01-01,2025-01-04,NULL,1,1,2
2575,49,2025-01-01,2025-01-04,2,5,1,2
2875,50,2025-01-01,2025-01-05,1,1,1,2
2524,51,2025-01-01,2025-01-06,NULL,3,1,2
2095,52,2025-01-01,2025-01-02,NULL,2,1,2
2403,53,2025-01-01,2025-01-05,2,1,1,2
2990,54,2025-01-01,2025-01-05,NULL,1,1,2
476,55,2025-01-01,2025-01-05,1,5,1,2
2729,56,2025-01-01,2025-01-04,2,2,1,2
2874,57,2025-01-01,2025-01-03,NULL,2,1,2
2143,58,2025-01-01,2025-01-04,2,3,1,2
1101,59,2025-01-01,2025-01-03,2,1,1,2
1373,60,2025-01-01,2025-01-02,1,3,1,2
2918,61,2025-01-01,2025-01-04,2,1,1,2
1476,62,2025-01-01,2025-01-06,NULL,4,1,2
1045,64,2025-01-01,2025-01-03,NULL,5,1,2
936,65,2025-01-01,2025-01-02,2,5,1,2
